date,difficulty,market_price
2013-02-27,3651011.63069321,31.2
2013-03-03,4367876.0008422,34.25
2013-03-07,4367876.0008422,42.0
2013-03-11,4367876.0008422,45.6
2013-03-15,4847647.15206561,46.86
2013-03-19,4847647.15206561,52.12
2013-03-23,4847647.15206561,70.25
2013-03-27,6695826.28259625,78.79
2013-03-31,6695826.28259625,92.5
2013-04-04,6695826.28259625,131.0
2013-04-08,7672999.92016414,163.3
2013-04-12,7672999.92016414,124.9
2013-04-16,7672999.92016414,68.1
2013-04-20,8974296.01488785,118.92
2013-04-24,8974296.01488785,142.5
2013-04-28,8974296.01488785,128.5
2013-05-02,10076292.8834187,117.0
2013-05-06,10076292.8834187,115.98
2013-05-10,10076292.8834187,112.69
2013-05-14,11187257.4613608,117.99
2013-05-18,11187257.4613608,123.32
2013-05-22,11187257.4613608,122.7
2013-05-26,12153411.7097758,131.99
2013-05-30,12153411.7097758,132.3
2013-06-03,12153411.7097758,122.42
2013-06-07,15605632.6812859,118.97
2013-06-11,15605632.6812859,106.1
2013-06-15,15605632.6812859,99.98
2013-06-19,19339258.2723867,107.39
2013-06-23,19339258.2723867,108.35
2013-06-27,19339258.2723867,104.0
2013-07-01,21335329.113983,97.25
2013-07-05,21335329.113983,80.04
2013-07-09,21335329.113983,76.49
2013-07-13,26162875.6825699,93.99
2013-07-17,26162875.6825699,97.05
2013-07-21,26162875.6825699,89.39
2013-07-25,31256960.7277689,94.51
2013-07-29,31256960.7277689,98.7
2013-08-02,31256960.7277689,104.62
2013-08-06,37392766.1364746,106.72
2013-08-10,37392766.1364746,102.8
2013-08-14,50810339.0482765,109.35
2013-08-18,50810339.0482765,99.71
2013-08-22,50810339.0482765,110.43
2013-08-26,65750060.1490848,113.28
2013-08-30,65750060.1490848,118.5
2013-09-03,65750060.1490848,130.09
2013-09-07,86933017.7711944,117.61
2013-09-11,86933017.7711944,122.02
2013-09-15,112628548.666347,124.05
2013-09-19,112628548.666347,127.12
2013-09-23,112628548.666347,122.93
2013-09-27,148819199.805093,124.65
2013-10-01,148819199.805093,126.25
2013-10-05,148819199.805093,121.94
2013-10-09,189281249.281033,124.12
2013-10-13,189281249.281033,127.59
2013-10-17,267731249.482421,138.19
2013-10-21,267731249.482421,186.12
2013-10-25,267731249.482421,195.33
2013-10-29,390928787.638086,206.9
2013-11-02,390928787.638086,203.0
2013-11-06,510929738.016152,252.59
2013-11-10,510929738.016152,330.0
2013-11-14,510929738.016152,393.0
2013-11-18,609482679.888355,475.0
2013-11-22,609482679.888355,716.77
2013-11-26,609482679.888355,814.56
2013-11-30,707408283.051497,1133.95
2013-12-04,707408283.051497,1050.21
2013-12-08,707408283.051497,705.91
2013-12-12,908350862.437022,876.88
2013-12-16,908350862.437022,862.98
2013-12-20,908350862.437022,685.3
2013-12-24,1180923195.25803,659.99
2013-12-28,1180923195.25803,723.98
2014-01-01,1180923195.25803,732.0
2014-01-05,1418481395.26264,828.74
2014-01-09,1418481395.26264,823.3
2014-01-13,1789546951.05324,844.04
2014-01-17,1789546951.05324,817.15
2014-01-21,1789546951.05324,827.81
2014-01-25,2193847870.17428,780.02
2014-01-29,2193847870.17428,785.6
2014-02-02,2193847870.17428,817.08
2014-02-06,2621404453.06462,781.0
2014-02-10,2621404453.06462,687.37
2014-02-14,2621404453.06462,610.0
2014-02-18,3129573174.52229,629.96
2014-02-22,3129573174.52229,579.5
2014-02-26,3129573174.52229,559.52
2014-03-02,3815723798.81463,567.48
2014-03-06,3815723798.81463,670.7
2014-03-10,3815723798.81463,639.9
2014-03-14,4250217919.86954,641.01
2014-03-18,4250217919.86954,624.71
2014-03-22,4250217919.86954,572.89
2014-03-26,5006860589.2054,585.79
2014-03-30,5006860589.2054,490.0
2014-04-03,5006860589.2054,439.12
2014-04-07,6119726089.12815,458.0
2014-04-11,6119726089.12815,369.0
2014-04-15,6119726089.12815,459.64
2014-04-19,6978842649.59238,482.11
2014-04-23,6978842649.59238,488.52
2014-04-27,6978842649.59238,461.48
2014-05-01,8000872135.96816,452.03
2014-05-05,8000872135.96816,436.75
2014-05-09,8000872135.96816,437.61
2014-05-13,8853416309.1278,442.45
2014-05-17,8853416309.1278,449.12
2014-05-21,8853416309.1278,488.12
2014-05-25,10455720138.4848,527.91
2014-05-29,10455720138.4848,581.0
2014-06-02,10455720138.4848,630.71
2014-06-06,11756551916.904,661.48
2014-06-10,11756551916.904,648.81
2014-06-14,11756551916.904,591.55
2014-06-18,13462580114.5253,608.0
2014-06-22,13462580114.5253,590.96
2014-06-26,13462580114.5253,560.76
2014-06-30,16818461371.1611,599.99
2014-07-04,16818461371.1611,645.35
2014-07-08,16818461371.1611,624.35
2014-07-12,16818461371.1611,634.0
2014-07-16,17336316978.5078,624.07
2014-07-20,17336316978.5078,630.0
2014-07-24,17336316978.5078,620.43
2014-07-28,18736441558.3102,593.68
2014-08-01,18736441558.3102,582.04
2014-08-05,18736441558.3102,588.5
2014-08-09,19729645940.5771,588.98
2014-08-13,19729645940.5771,569.01
2014-08-17,19729645940.5771,523.88
2014-08-21,23844670038.8033,518.82
2014-08-25,23844670038.8033,508.03
2014-08-29,23844670038.8033,506.61
2014-09-02,27428630902.2579,476.36
