"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/31/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/27/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/26/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/25/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/24/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/23/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/20/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/19/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/18/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/17/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/16/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/13/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/12/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/11/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/10/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/09/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/06/2022","0.83","0.83","0.83","0.83","","0.00%"
"05/05/2022","0.83","0.83","0.83","0.83","","151.52%"
"05/04/2022","0.33","0.33","0.33","0.33","","0.00%"
"05/03/2022","0.33","0.33","0.33","0.33","","0.00%"
"05/02/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/29/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/28/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/27/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/26/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/25/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/22/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/21/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/20/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/19/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/18/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/15/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/14/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/13/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/12/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/11/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/08/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/07/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/06/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/05/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/04/2022","0.33","0.33","0.33","0.33","","0.00%"
"04/01/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/31/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/30/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/29/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/28/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/25/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/24/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/23/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/22/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/21/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/18/2022","0.33","0.33","0.33","0.33","","0.00%"
"03/17/2022","0.33","0.33","0.33","0.33","","312.50%"
"03/16/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/15/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/14/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/11/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/10/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/09/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/08/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/07/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/04/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/03/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/02/2022","0.08","0.08","0.08","0.08","","0.00%"
"03/01/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/28/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/25/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/24/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/23/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/22/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/18/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/17/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/16/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/15/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/14/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/11/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/10/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/09/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/08/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/07/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/04/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/03/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/02/2022","0.08","0.08","0.08","0.08","","0.00%"
"02/01/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/31/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/28/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/27/2022","0.08","0.08","0.08","0.08","","0.00%"
